St. Vincent	Huey Newton	St. Vincent (Deluxe Edition)	4:37:00
Hamilton Leithauser + Rostam	A 1000 Times	I Had A Dream That You Were Mine	4:8:00
Jamie xx	All Under One Roof Raving	All Under One Roof Raving	5:59:00
DJ Shadow	The Number Song - Cut Chemist Remix	Endtroducing (Deluxe Edition)	5:13:00
The War On Drugs	Disappearing	Lost In The Dream	6:51:00
Kendrick Lamar	Money Trees	good kid, m.A.A.d city (Deluxe)	6:26:00
Clams Casino	Ghost in a Kiss	32 Levels (Deluxe)	3:57:00
Toro y Moi	The Flight	Live from Trona	4:41:00
TOKiMONSTA	Realla	Desiderium	3:30:00
Gil Scott-Heron	NY Is Killing Me	We're New Here	5:43:00
Lapalux	Push N' Spun	Lustmore	3:38:00
Gil Scott-Heron	Piano Player	We're New Here	1:16:00
Four Tet	Parallel Jalebi	Beautiful Rewind	3:53:00
New Order	Touched By The Hand Of God	In Concert 1987	4:58:00
Moderat	Bad Kingdom - Live	Live	5:30:00
Sufjan Stevens	Age of Adz	The Age of Adz	8:1:00
Kan Wakan	Molasses	Molasses	5:0:00
Shabazz Palaces	30 Clip Extension	Quazarz vs. The Jealous Machines	5:7:00
Subculture Sage	Stories and Tales	Subculture Sage EP	3:15:00
Small Black	Despicable Dogs	Small Black EP	3:53:00
A Sunny Day In Glasgow	Crushin'	Sea When Absent	4:42:00
KOOL A.D.	Manny Pacquiao	51	3:47:00
The Last Bison	Midnight City - At Spotify Live/ 2013	Spotify Sessions	4:1:00
K1llrgvp	Train	Summer (feat. Spice Mouse) - EP	3:32:00
Gold Panda	Enoshima	Half Of Where You Live	3:8:00
Ryan Adams	World War 24	Love Is Hell	4:15:00
Beck	Already Dead	Sea Change	2:58:00
Clap Your Hands Say Yeah	Unfolding Above Celibate Moon (Los Angeles Nursery Rhyme)	The Tourist	3:18:00
King Krule	Half Man Half Shark	The OOZ	5:2:00
Wilco	I'm a wheel	A ghost is born (Deluxe Version)	2:34:00
Young Fathers	LOW	DEAD	3:11:00
I Monster	Nemesis	A Dollop of HP	3:33:00
Lapalux	Forgetting and Learning Again	Some Other Time	4:18:00
D.D Dumbo	Walrus	Utopia Defeated	3:10:00
Jackson And His Computer Band	Dead Living Things	Glow	4:45:00
Big Grams	Run for Your Life	Big Grams	3:56:00
Desaparecidos	Mañana	Read Music/Speak Spanish	3:24:00
Desaparecidos	Greater Omaha	Read Music/Speak Spanish	4:14:00
Modest Mouse	Dramamine	This Is A Long Drive For Someone With Nothing To Think About	5:42:00
Jamie xx	Gosh	In Colour	4:51:00
Low	Just Like Christmas	Christmas	3:8:00
SOPHIE	It's Okay To Cry	It's Okay To Cry	3:51:00
KOHH	Dirt Boys	DIRT	5:17:00
The Drones	Shark Fin Blues	Wait Long By the River and the Bodies of Your Enemies Will Float By	5:43:00
Lazy Susan	Bobby Fischer	Long Lost	3:45:00
Grizzly Bear	Losing All Sense	Painted Ruins	5:5:00
Kendrick Lamar	untitled 07 levitate	untitled 07 levitate	2:26:00
of Montreal	Gronlandic Edit	Hissing Fauna, Are You The Destroyer?	3:24:00
Wolf Parade	You Are A Runner And I Am My Father's Son	Apologies To The Queen Mary	2:54:00
Twin Shadow	Slow	Forget	3:54:00
Animal Collective	FloriDada	Painting With	4:5:00
Radiohead	Lift	OK Computer OKNOTOK 1997 2017	4:6:00
Zammuto	Too Late to Topologize	Zammuto	3:38:00
Sonny & The Sunsets	Green Blood	Antenna To The Afterworld	4:21:00
Sufjan Stevens	A Winner Needs a Wand	A Sun Came (reissue)	5:44:00
Young Fathers	Ebony Sky	Tape Two	3:35:00
Tycho	Plains - Baio Remix	Awake (Deluxe Version)	4:36:00
Land of the Loops	Multi-Family Garage Sale (Bargain-Bin Mix)	Bundle of Joy	4:15:00
Grievous Bodily Calm	Bennu (Live)	Thought Tapes (Live)	6:29:00
Sunset Rubdown	Stadiums And Shrines II	Shut Up I Am Dreaming	3:57:00
SOPHIE	It's Okay To Cry	It's Okay To Cry	3:51:00
Matt and Kim	Daylight	Grand	2:51:00
Gil Scott-Heron	My Cloud	We're New Here	4:27:00
Tycho	Awake	Awake	4:43:00
Shabazz Palaces	Forerunner Foray	Lese Majesty	3:48:00
Delicate Steve	Ramona Reborn	Positive Force	3:9:00
Rostam	Don't Let It Get To You	Half-Light	5:17:00
Empress Of	Go to Hell	Go to Hell	3:9:00
Unknown Mortal Orchestra	Can't Keep Checking My Phone - SILICON Rework	Can't Keep Checking My Phone (SILICON Rework)	3:31:00
Trim	Before I Lied	1-800 DINOSAUR Presents Trim	3:23:00
Car Seat Headrest	Drunk Drivers/Killer Whales	Teens Of Denial	6:14:00
Car Seat Headrest	Cosmic Hero	Teens Of Denial	8:31:00
St. Vincent	New York	MASSEDUCTION	2:34:00
HEALTH	HARD TO BE A GOD	HARD TO BE A GOD	2:55:00
Perfume Genius	Go Ahead	No Shape	2:53:00
Arca	Castration	Arca	3:21:00
Kevin Abstract	American Boyfriend	American Boyfriend: A Suburban Love Story	3:58:00
Rostam	Gravity Don't Pull Me (Official Video)		4:0:00
Baths	Lovely Bloodflow	Cerulean	3:35:00
KAYTRANADA	YOU'RE THE ONE	99.9%	3:47:00
Courtney Barnett	Fear Is Like A Forest	Lotta Sea Lice	4:47:00
Xiu Xiu	Wondering	FORGET	4:12:00
Jonathan Boulet	Mangle Trang	We Keep The Beat, Found The Sound, See The Need, Start The Heart	3:32:00
Wolf Parade	King of Piss and Paper	Cry Cry Cry	4:47:00
of Montreal	let's relate	Innocence Reaches	3:53:00
Cloud Control	Dream Cave	Dream Cave	6:8:00
Gorillaz	Garage Palace (feat. Little Simz)	Garage Palace (feat. Little Simz)	2:31:00
Beach Fossils	Out in the Way (feat. Wild Nothing)	What a Pleasure	3:52:00
Solange	Losing You	True	4:20:00
Apparat	Limelight	Walls	4:12:00
Yeasayer	I Am Chemistry	Amen & Goodbye	5:1:00
Slothrust	Crockpot	Of Course You Do	5:25:00
Wolf Alice	Heavenward	Heavenward	4:55:00
Basenji	Mistakes	Mistakes	3:46:00
MGMT	Little Dark Age	Little Dark Age	4:59:00
Jamie xx	Far Nearer	Far Nearer	6:50:00
Chairlift	Met Before - The Field Remix	Chairlift at 6:15	6:31:00
The Dø	A Mess Like This / Omen (Live at l’Olympia, Paris)	Live at l’Olympia, Paris	7:27:00
Cloud Control	Gold Canary (Live from Spotify Sydney)	Spotify Sessions	3:39:00
Jessica Lea Mayfield	Oblivious	Make My Head Sing…	3:16:00
Rostam	Pink Moon - Recorded at Spotify Studios NYC	Spotify Singles	2:27:00
Princess Nokia	Goth Kid	1992 Deluxe	3:56:00
Mr Jukes	Typhoon	God First	5:29:00
Tune-Yards	Home	I can feel you creep into my private life	4:18:00
Shobaleader One	Journey To Reedham	Elektrac	6:55:00
